#Format: HPO-ID<tab>HPO-Name<tab>Gene-ID<tab>Gene-Name
HP:0000878	11 pairs of ribs	126792	B3GALT6
HP:0004691	2-3 toe syndactyly	6660	SOX5
HP:0004691	2-3 toe syndactyly	10682	EBP
HP:0004691	2-3 toe syndactyly	8318	CDC45
HP:0004692	4-5 toe syndactyly	5932	RBBP8
HP:0003607	4-Hydroxyphenylacetic aciduria	3242	HPD
HP:0003161	4-Hydroxyphenylpyruvic aciduria	3242	HPD
HP:0040142	5-oxoprolinase deficiency	26873	OPLAH
HP:0005112	Abdominal aortic aneurysm	2006	ELN
HP:0003270	Abdominal distention	4645	MYO5B
HP:0003270	Abdominal distention	51128	SAR1B
HP:0003270	Abdominal distention	9321	TRIP11
HP:0003270	Abdominal distention	23534	TNPO3
HP:0012743	Abdominal obesity	7681	MKRN3
HP:0002027	Abdominal pain	10599	SLCO1B1
HP:0002027	Abdominal pain	1908	EDN3
HP:0002027	Abdominal pain	23417	MLYCD
HP:0002027	Abdominal pain	10892	MALT1
HP:0002027	Abdominal pain	4023	LPL
HP:0002027	Abdominal pain	3257	HPS1
HP:0002027	Abdominal pain	2006	ELN
HP:0002027	Abdominal pain	4594	MUT
HP:0002027	Abdominal pain	26873	OPLAH
HP:0011458	Abdominal symptom	8318	CDC45
HP:0011458	Abdominal symptom	57492	ARID1B
HP:0011458	Abdominal symptom	4261	CIITA
HP:0011458	Abdominal symptom	26873	OPLAH
HP:0011458	Abdominal symptom	6496	SIX3
HP:0011458	Abdominal symptom	10599	SLCO1B1
HP:0011458	Abdominal symptom	6531	SLC6A3
HP:0011458	Abdominal symptom	80270	HSD3B7
HP:0011458	Abdominal symptom	445	ASS1
HP:0011458	Abdominal symptom	4594	MUT
HP:0011458	Abdominal symptom	6660	SOX5
HP:0011458	Abdominal symptom	4645	MYO5B
HP:0011458	Abdominal symptom	613	BCR
HP:0011458	Abdominal symptom	4729	NDUFV2
HP:0011458	Abdominal symptom	10892	MALT1
HP:0011458	Abdominal symptom	2778	GNAS
HP:0011458	Abdominal symptom	2799	GNS
HP:0011458	Abdominal symptom	6899	TBX1
HP:0011458	Abdominal symptom	23394	ADNP
HP:0011458	Abdominal symptom	283489	CHAMP1
HP:0011458	Abdominal symptom	23417	MLYCD
HP:0011458	Abdominal symptom	56262	LRRC8A
HP:0011458	Abdominal symptom	23522	KAT6B
HP:0011458	Abdominal symptom	23534	TNPO3
HP:0011458	Abdominal symptom	5156	PDGFRA
HP:0011458	Abdominal symptom	9321	TRIP11
HP:0011458	Abdominal symptom	3257	HPS1
HP:0011458	Abdominal symptom	7443	VRK1
HP:0011458	Abdominal symptom	9526	MPDU1
HP:0011458	Abdominal symptom	25939	SAMHD1
HP:0011458	Abdominal symptom	9652	TTC37
HP:0011458	Abdominal symptom	3561	IL2RG
HP:0011458	Abdominal symptom	7681	MKRN3
HP:0011458	Abdominal symptom	9775	EIF4A3
HP:0011458	Abdominal symptom	56922	MCCC1
HP:0011458	Abdominal symptom	118429	ANTXR2
HP:0011458	Abdominal symptom	3798	KIF5A
HP:0011458	Abdominal symptom	79600	TCTN1
HP:0011458	Abdominal symptom	9997	SCO2
HP:0011458	Abdominal symptom	83737	ITCH
HP:0011458	Abdominal symptom	3908	LAMA2
HP:0011458	Abdominal symptom	10084	PQBP1
HP:0011458	Abdominal symptom	1908	EDN3
HP:0011458	Abdominal symptom	6049	RNF6
HP:0011458	Abdominal symptom	4023	LPL
HP:0011458	Abdominal symptom	51128	SAR1B
HP:0011458	Abdominal symptom	79813	EHMT1
HP:0011458	Abdominal symptom	2006	ELN
HP:0010866	Abdominal wall defect	613	BCR
HP:0010866	Abdominal wall defect	9321	TRIP11
HP:0010866	Abdominal wall defect	2189	FANCG
HP:0010866	Abdominal wall defect	9361	LONP1
HP:0010866	Abdominal wall defect	57492	ARID1B
HP:0010866	Abdominal wall defect	6899	TBX1
HP:0010866	Abdominal wall defect	10516	FBLN5
HP:0010866	Abdominal wall defect	57697	FANCM
HP:0010866	Abdominal wall defect	1954	MEGF8
HP:0010866	Abdominal wall defect	79813	EHMT1
HP:0010866	Abdominal wall defect	2006	ELN
HP:0002846	Abnormal B cell morphology	4261	CIITA
HP:0002846	Abnormal B cell morphology	56262	LRRC8A
HP:0002846	Abnormal B cell morphology	3561	IL2RG
HP:0002846	Abnormal B cell morphology	23534	TNPO3
HP:0011400	Abnormal CNS myelination	1605	DAG1
HP:0011400	Abnormal CNS myelination	25939	SAMHD1
HP:0011400	Abnormal CNS myelination	4729	NDUFV2
HP:0011400	Abnormal CNS myelination	4594	MUT
HP:0030085	Abnormal CSF lactate level	9997	SCO2
HP:0030085	Abnormal CSF lactate level	4729	NDUFV2
HP:0025454	Abnormal CSF metabolite level	9997	SCO2
HP:0025454	Abnormal CSF metabolite level	4729	NDUFV2
HP:0025456	Abnormal CSF protein level	410	ARSA
HP:0003115	Abnormal EKG	9992	KCNE2
HP:0003115	Abnormal EKG	781	CACNA2D1
HP:0003115	Abnormal EKG	6736	SRY
HP:0003115	Abnormal EKG	79188	TMEM43
HP:0003115	Abnormal EKG	2778	GNAS
