# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	1232248	1235040	1p36.3	1p36.33	615291	B3GALT6, SEMDJL1, EDSSPD2	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	B3GALT6	126792	ENSG00000176022		Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive	B3galt6 (MGI:2152819)
chr1	28329001	28335966	1p35.3	1p35.3	612384	MED18	Mediator complex subunit 18	MED18	54797	ENSG00000130772			Med18 (MGI:1914469)
chr1	35557791	35566778	1p34.3	1p34.3	608458	NCDN, KIAA0607	Neurochondrin	NCDN	23154	ENSG00000020129			Ncdn (MGI:1347351)
chr1	151254699	151267478	1q21.3	1q21.3	601648	PSMD4, S5A, RPN10	Proteasome 26S subunit, non-ATPase, 4	PSMD4	5710	ENSG00000159352			Psmd4 (MGI:1201670)
chr1	151281554	151291904	1q21.2	1q21.3	610568	ZNF687, KIAA1441, PDB6	Zinc finger protein 687	ZNF687	57592	ENSG00000143373	fused with AML1 in t(1;21)	Paget disease of bone 6, 616833 (3), Autosomal dominant	Zfp687 (MGI:1925516)
chr1	156149671	156177750	1q22	1q22	607292	SEMA4A, SEMB, RP35, CORD10	Semaphorin 4A	SEMA4A	64218	ENSG00000196189		Cone-rod dystrophy 10, 610283 (3), Autosomal recessive; Retinitis pigmentosa 35, 610282 (3), Autosomal recessive, Autosomal dominant	Sema4a (MGI:107560)
chr1	169921325	170085202	1q24.2	1q24.2	601836	KIFAP3, SMAP	Kinesin-associated protein 3	KIFAP3	22920	ENSG00000075945			Kifap3 (MGI:107566)
chr1	209938164	210171314	1q32.2	1q32.2	610949	SYT14, SCAR11	Synaptotagmin 14	SYT14	255928	ENSG00000143469		Spinocerebellar ataxia, autosomal recessive 11, 614229 (3), Autosomal recessive	Syt14 (MGI:2444490)
chr1	219910394	219960103	1q41	1q41	611146	SLC30A10, ZNT10, HMNDYT1	Solute carrier family 30 (zinc transporter), member 10	SLC30A10	55532	ENSG00000196660		Hypermanganesemia with dystonia 1, 613280 (3), Autosomal recessive	Slc30a10 (MGI:2685058)
chr1	235661030	235883707	1q42.3	1q42.3	606897	LYST, CHS1	Lysosomal trafficking regulator	LYST	1130	ENSG00000143669		Chediak-Higashi syndrome, 214500 (3), Autosomal recessive	Lyst (MGI:107448)
chr2	44941897	44946076	2p21	2p21	603714	SIX3, HPE2	Sine oculis homeo box, Drosophila, homolog of, 3	SIX3	6496	ENSG00000138083		Holoprosencephaly 2, 157170 (3), Autosomal dominant; Schizencephaly, 269160 (3)	Six3 (MGI:102764)
chr2	73828910	73873660	2p13.1	2p13.1	606247	STAMBP, AMSH, MICCAP	STAM binding protein	STAMBP	10617	ENSG00000124356		Microcephaly-capillary malformation syndrome, 614261 (3), Autosomal recessive	Stambp (MGI:1917777)
chr2	74549019	74557550	2p13	2p13.1	602919	DOK1	Downstream of tyrosine kinase 1	DOK1	1796	ENSG00000115325			Dok1 (MGI:893587)
chr2	113889933	113961553	2q14.1	2q14.1	604222	ACTR3, ARP3	Actin-related protein 3	ACTR3	10096	ENSG00000115091			Actr3 (MGI:1921367)
chr2	174799313	175005378	2q31-q32.1	2q31.1	118423	CHN1, CHN, ARHGAP2, RHOGAP2, DURS2	Chimerin 1 (GTPase-activating protein, rho, 2)	CHN1	1123	ENSG00000128656		Duane retraction syndrome 2, 604356 (3)	Chn1 (MGI:1915674)
chr2	176107355	176109587	2q31-q32	2q31.1	142986	HOXD11, HOX4F	Homeo box-D11	HOXD11	3237	ENSG00000128713			Hoxd11 (MGI:96203)
chr2	202206179	202238598	2q32.2-q33	2q33.1	601912	SUMO1, UBL1, SMT3, OFC10	Small ubiquitin-like modifier 1	SUMO1	7341	ENSG00000116030	mutation identified in 1 OFC10 patient	?Orofacial cleft 10, 613705 (3), Isolated cases	Sumo1 (MGI:1197010)
