Chromosome/scaffold name	Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	RefSeq mRNA ID	RefSeq mRNA predicted ID	RefSeq ncRNA ID
1	ENSG00000130772	ENST00000479574	28329002	28335016			
1	ENSG00000130772	ENST00000373842	28329038	28335967	NM_017638	XM_005245914	
1	ENSG00000130772	ENST00000373842	28329038	28335967	NM_001127350	XM_005245914	
1	ENSG00000130772	ENST00000475655	28329062	28330792			
1	ENSG00000130772	ENST00000474683	28330283	28334585			
1	ENSG00000130772	ENST00000398997	28329055	28335964			
1	ENSG00000159352	ENST00000368884	151254703	151267479	NM_001330692	XM_017001856	
1	ENSG00000159352	ENST00000368884	151254703	151267479	NM_002810	XM_017001856	
1	ENSG00000159352	ENST00000368881	151254709	151267459		XM_005245354	
1	ENSG00000159352	ENST00000368881	151254709	151267459		XM_006711464	
1	ENSG00000159352	ENST00000461434	151254758	151262910			
1	ENSG00000159352	ENST00000462970	151254763	151265588			
1	ENSG00000159352	ENST00000476855	151254769	151267232			
1	ENSG00000159352	ENST00000437736	151259063	151265609			
1	ENSG00000159352	ENST00000469786	151262560	151264939			
1	ENSG00000159352	ENST00000445776	151264888	151267466			
1	ENSG00000159352	ENST00000491857	151265244	151266098			
1	ENSG00000159352	ENST00000427779	151266038	151267460			
1	ENSG00000159352	ENST00000470396	151266308	151266725			
1	ENSG00000159352	ENST00000453615	151266544	151267460			
1	ENSG00000020129	ENST00000373253	35557473	35566772	NM_001014841		
1	ENSG00000020129	ENST00000356090	35557792	35566779	NM_001014839		
1	ENSG00000020129	ENST00000373243	35557808	35566773	NM_014284		
1	ENSG00000020129	ENST00000459931	35557831	35560843			
1	ENSG00000020129	ENST00000437806	35558506	35560934			
1	ENSG00000020129	ENST00000423723	35562468	35567274			
1	ENSG00000143469	ENST00000367019	209938174	210162223	NM_001146262		
1	ENSG00000143469	ENST00000637265	209938186	210171389		XM_017000931	
1	ENSG00000143469	ENST00000637265	209938186	210171389		XM_006711262	
1	ENSG00000143469	ENST00000637945	209938251	210161731			
1	ENSG00000143469	ENST00000472886	209938251	210162326	NM_153262		
1	ENSG00000143469	ENST00000399639	209938260	210171315			
1	ENSG00000143469	ENST00000367015	209952724	210164291		XM_017000934	
1	ENSG00000143469	ENST00000534859	210021046	210162967		XM_017000935	
1	ENSG00000143469	ENST00000629778	209938251	210161042	NM_001146261		
1	ENSG00000143469	ENST00000629778	209938251	210161042	NM_001146264		
1	ENSG00000143469	ENST00000537238	209938174	210164286	NM_001256006	XM_017000932	NR_027459
1	ENSG00000143469	ENST00000537238	209938174	210164286	NM_001256006	XM_017000933	NR_027459
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544034	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544033	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544036	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544031	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544032	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_017000150	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_000081	XM_011544035	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544034	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544033	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544036	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544031	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544032	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_017000150	
1	ENSG00000143669	ENST00000389793	235661041	235866920	NM_001301365	XM_011544035	
1	ENSG00000143669	ENST00000473037	235661043	235738007			
1	ENSG00000143669	ENST00000462376	235709106	235712400			
1	ENSG00000143669	ENST00000475277	235713109	235728103			
1	ENSG00000143669	ENST00000461526	235737990	235744032			
1	ENSG00000143669	ENST00000487530	235746468	235752171			
1	ENSG00000143669	ENST00000489585	235759175	235883640		XM_011544039	
1	ENSG00000143669	ENST00000489585	235759175	235883640		XM_011544040	
1	ENSG00000143669	ENST00000489585	235759175	235883640		XM_017000151	
1	ENSG00000143669	ENST00000492844	235787070	235788848			
1	ENSG00000143669	ENST00000465349	235791573	235883640			
1	ENSG00000143669	ENST00000468107	235828805	235883616			NR_102436
1	ENSG00000143669	ENST00000468626	235829409	235866876			
1	ENSG00000143669	ENST00000389794	235661050	235866924			
1	ENSG00000196189	ENST00000435124	156147366	156161498			
1	ENSG00000196189	ENST00000633494	156147375	156156574			
1	ENSG00000196189	ENST00000414683	156149723	156161493			
1	ENSG00000196189	ENST00000355014	156150019	156177744	NM_001193301		
1	ENSG00000196189	ENST00000485575	156150203	156156574			
1	ENSG00000196189	ENST00000368285	156153527	156177744	NM_001193300	XM_011509872	
1	ENSG00000196189	ENST00000368285	156153527	156177744	NM_001193300	XM_011509873	
1	ENSG00000196189	ENST00000368285	156153527	156177744	NM_022367	XM_011509872	
1	ENSG00000196189	ENST00000368285	156153527	156177744	NM_022367	XM_011509873	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_011509878	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_011509876	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_011509879	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_017002057	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_011509875	
1	ENSG00000196189	ENST00000368284	156153578	156177743	NM_001193302	XM_011509874	
1	ENSG00000196189	ENST00000438830	156153607	156161028			
1	ENSG00000196189	ENST00000368282	156154371	156177752		XM_011509871	
1	ENSG00000196189	ENST00000368282	156154371	156177752		XM_017002056	
1	ENSG00000196189	ENST00000470306	156154877	156159031			
1	ENSG00000196189	ENST00000487358	156156425	156175232			
1	ENSG00000196189	ENST00000466698	156160544	156161669			
1	ENSG00000196189	ENST00000469065	156160950	156163298			
1	ENSG00000196189	ENST00000462892	156161227	156175647			
1	ENSG00000196189	ENST00000484155	156175333	156176656			
1	ENSG00000196189	ENST00000368286	156153585	156177743			
1	ENSG00000075945	ENST00000361580	169921326	170074695	NM_014970	XM_005244970	
1	ENSG00000075945	ENST00000361580	169921326	170074695	NM_014970	XM_011509307	
1	ENSG00000075945	ENST00000367765	169921326	170068917	NM_001204517		
1	ENSG00000075945	ENST00000367767	169921326	170074588	NM_001204516		
1	ENSG00000075945	ENST00000474292	170024468	170032210			
1	ENSG00000075945	ENST00000490550	170035509	170085208			
1	ENSG00000075945	ENST00000538366	169921331	170074738	NM_001204514		
1	ENSG00000143373	ENST00000443959	151281618	151286705			
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_001304764	XM_005245366	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_001304764	XM_011509813	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_001304764	XM_011509812	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_001304764	XM_011509811	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_020832	XM_005245366	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_020832	XM_011509813	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_020832	XM_011509812	
1	ENSG00000143373	ENST00000336715	151282267	151292180	NM_020832	XM_011509811	
1	ENSG00000143373	ENST00000449313	151282288	151291895			
1	ENSG00000143373	ENST00000324048	151282312	151291903	NM_001304763		
1	ENSG00000143373	ENST00000426871	151287484	151291903			
1	ENSG00000143373	ENST00000459919	151288191	151289539			
1	ENSG00000143373	ENST00000436614	151290451	151291337			
1	ENSG00000196660	ENST00000484239	219685427	219958647			
1	ENSG00000196660	ENST00000356609	219913506	219928651			NR_046437
1	ENSG00000196660	ENST00000484079	219914264	219919030			
1	ENSG00000196660	ENST00000366926	219915154	219928602	NM_018713		
1	ENSG00000176022	ENST00000379198	1232265	1235041	NM_080605		
10	ENSG00000150093	ENST00000302278	32900392	32958209	NM_002211		
10	ENSG00000150093	ENST00000488427	32900992	32908503			
10	ENSG00000150093	ENST00000494395	32901564	32912064			
10	ENSG00000150093	ENST00000484088	32925961	32958218			
10	ENSG00000150093	ENST00000480226	32928150	32955663			
10	ENSG00000150093	ENST00000474568	32928174	32958232			
10	ENSG00000150093	ENST00000488494	32928193	32958227			
10	ENSG00000150093	ENST00000534049	32928212	32992463			
10	ENSG00000150093	ENST00000437302	32928232	32957794			
10	ENSG00000150093	ENST00000475184	32929824	33005792			
10	ENSG00000150093	ENST00000528877	32929885	32963283			
10	ENSG00000150093	ENST00000417122	32929929	32958227			
10	ENSG00000150093	ENST00000464001	32929932	32932717			
10	ENSG00000150093	ENST00000493758	32929934	32935558			
10	ENSG00000150093	ENST00000472147	32929985	32936251			
10	ENSG00000150093	ENST00000414670	32932521	32958196			
10	ENSG00000150093	ENST00000439974	32958486	32960503			
10	ENSG00000150093	ENST00000396033	32900319	32957894	NM_133376		
10	ENSG00000150093	ENST00000423113	32900319	32935558	NM_033668		
10	ENSG00000107890	ENST00000445828	26991914	27014679			
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015929	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015928	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015930	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015931	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_011519416	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015932	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_006717425	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_006717423	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_014915	XM_017015933	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_017015929	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_017015928	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_017015930	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_017015931	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_011519416	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_017015932	
10	ENSG00000107890	ENST00000376087	27004298	27100492	NM_001256053	XM_006717425	
