transcript	gene	chr	n_exons	cds_start	cds_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	exp_syn	exp_mis	exp_lof	syn_z	mis_z	lof_z	pLI	pRec	pNull
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	990	1.35073750512e-05	2.44746571282e-05	4.56195992344e-07	48	69	2	82.4033008825699	149.127738504833	3.00051646718059	2.34951019052966	3.20937144226326	0.572157937376852	0.0481044658297901	0.682101787079335	0.269793747090875
ENST00000373842.4	MED18	1	2	28657173	28661481	627	2.15647454398e-06	6.93449449275e-06	3.7821894852e-07	23	54	5	24.9444125883	78.4453450946	5.0017389663	0.241351855794664	1.34998549997105	0.000770231518071174	0.000448333946024653	0.423435756708827	0.576115909345148
ENST00000373243.2	NCDN	1	7	36023791	36031264	2190	1.3663392261e-05	2.78736006816e-05	1.23305431961e-06	138	141	0	154.954587794	313.073396739	16.5698519226	0.844373826594226	4.75671480173843	4.03226421260402	0.99673508374991	0.00326472675257506	1.89497514958218e-07
ENST00000368884.3	PSMD4	1	10	151227258	151239819	1134	4.74018376299e-06	1.20141224434e-05	8.45702572268e-07	54	71	0	53.3015150779	127.681627113	12.3407238066	-0.059310780085236	2.45354703580019	3.47984533872148	0.984312091842397	0.0156790899878506	8.81816975277427e-06
ENST00000324048.5	ZNF687	1	8	151258767	151263685	3714	1.62559443342e-05	4.028633431e-05	1.55274175606e-06	225	372	2	180.611995003	441.303819681	19.991978873	-2.04758402791906	1.6136328987343	3.98603167136951	0.975942572522876	0.0240563905936833	1.03688344049826e-06
ENST00000368285.3	SEMA4A	1	14	156124369	156146788	2286	1.09658444406e-05	2.41090206259e-05	1.72800527837e-06	119	269	5	125.002010424	268.765823902	24.5755477727	0.332802787956668	-0.00698741217266591	3.91157827732882	0.615371620982326	0.384614128865517	1.42501521577794e-05
ENST00000361580.2	KIFAP3	1	20	169890816	170043608	2379	7.05671405657e-06	1.96453836681e-05	2.71306045855e-06	107	185	12	84.7548707632	221.823665163	37.534624494	-1.49796640952044	1.20931635549493	4.12860280284115	0.00197154943265453	0.998020748610313	7.70195703238241e-06
ENST00000422431.1	SYT14	1	10	210111595	210334387	1860	6.21571543979e-06	1.50403818109e-05	1.27631815397e-06	57	133	1	65.4440256926	154.095099733	14.6761874749	0.647089383362347	0.831196343156305	3.53629263989	0.966548706607067	0.033439703718996	1.15896739370846e-05
ENST00000366926.3	SLC30A10	1	4	220088790	220101782	1458	1.09731595185e-05	2.05875620274e-05	6.40747488057e-07	71	103	0	93.5407059348	176.593035502	7.88762811878	1.44482986276178	2.70873297991215	2.78203700798609	0.921869997532192	0.0776527499640071	0.000477252503801219
ENST00000389794.3	LYST	1	51	235826239	235993717	11406	3.78942422419e-05	9.61926925303e-05	9.5351531375e-06	474	1139	22	444.963373035	1095.32343752	127.004453764	-0.853361602483032	-0.645502825161128	9.229707290529	0.999978422869173	2.15771308269855e-05	5.0099958361365e-28
ENST00000260653.3	SIX3	2	2	45169243	45171899	999	1.13118110755e-05	1.95449633295e-05	3.88523490076e-07	75	74	1	105.475742075	183.409147082	4.25221276907	1.83961499376161	3.95147699408976	1.56228805088522	0.348879193568557	0.595442298319936	0.0556785081115071
ENST00000394070.2	STAMBP	2	9	74057983	74089386	1275	4.74217326239e-06	1.21631096971e-05	1.37285562244e-06	63	121	8	57.129878385	140.632052612	19.0569136756	-0.481465077537497	0.809731340938166	2.50898076463492	0.00143027314024062	0.991402751050275	0.00716697580948426
ENST00000233668.5	DOK1	2	5	74781881	74784241	1446	8.34144829959e-06	1.76587975117e-05	9.58127483435e-07	83	173	5	93.551080083	196.42378294	12.5321355925	0.67627297040323	0.817479228217941	2.10763438810885	0.0169928839616036	0.960107294431644	0.0228998216067523
ENST00000263238.2	ACTR3	2	12	114647856	114715032	1257	4.33378359751e-06	1.20257849695e-05	1.25915847007e-06	49	46	0	49.6072403253	131.381982332	18.375670429	0.0534487203638639	3.6434671596474	4.24630597066674	0.998335663589052	0.00166429978050115	3.6630447233037e-08
ENST00000409900.3	CHN1	2	13	175664843	175869640	1380	5.45149501763e-06	1.27918887365e-05	1.1730814575e-06	61	113	2	58.9244972408	132.270133758	14.4759847649	-0.167619387607576	0.819538974254007	3.24818218018191	0.837424430279943	0.162440171876105	0.000135397843951826
ENST00000249504.5	HOXD11	2	2	176972083	176973870	1017	1.28938748494e-05	1.99872977917e-05	4.25179248602e-07	38	76	3	89.1410000059	147.382958413	4.03110572882	3.35799434313534	2.8759912920038	0.50872235503806	0.0131898476206074	0.661759099481592	0.3250510528978
ENST00000392246.2	SUMO1	2	5	203071975	203103174	306	8.27390608043e-07	2.24003068986e-06	3.0453368466e-07	9	8	0	10.6723223304	25.4259635482	5.05917618567	0.317350647604747	1.69034147410236	2.22807387752651	0.80037401914066	0.194175602280808	0.00545037857853205
ENST00000264376.4	CRYGD	2	3	208986396	208989197	525	3.09794679134e-06	7.32982812624e-06	5.74679748683e-07	32	68	4	31.8402786073	74.6352257965	6.6996659777	-0.0175477044501204	0.375664799739421	1.03317336794004	0.00822648074513727	0.791445989750453	0.20032752950441
ENST00000248444.5	VIL1	2	19	219288501	219314059	2484	1.20921475631e-05	2.64954686916e-05	2.2450520443e-06	142	295	14	142.763630556	303.399112529	32.7367975421	0.039619284702825	0.235853344759541	3.24389568942173	1.21278222497287e-05	0.999514699791872	0.000473172385878559
ENST00000264414.4	CUL3	2	16	225338961	225449726	2307	7.94217867394e-06	2.24496224546e-05	2.03114974952e-06	96	89	4	92.1632823139	248.449569572	28.6042831196	-0.247759666427857	4.94789761339181	4.55706135245993	0.974063405438851	0.0259365434257954	5.11353534095903e-08
ENST00000409110.1	SAG	2	15	234217835	234255558	1218	6.46182894843e-06	1.34681770222e-05	1.2485915008e-06	65	141	14	67.1765800772	133.656808386	17.5534541801	0.164632342850134	-0.310674965692948	0.840154431665091	1.56803495288471e-08	0.378036644043591	0.621963340276059
ENST00000326434.5	CRELD1	3	11	9976122	9986075	1269	5.82689593934e-06	1.32071313797e-05	1.6796259802e-06	72	149	13	68.1984938245	148.302946553	22.7063345171	-0.285376507686328	-0.027998626100437	2.01776881886141	1.4147073999886e-06	0.954314136341221	0.0456844489513785
