# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
102578	gene	5371	PML	ENSG00000140464
102579	gene	5981	RFC1	ENSG00000035928
109091	gene	811	CALR	ENSG00000179218
112266	gene	654	BMP6	ENSG00000153162
112267	gene	655	BMP7	ENSG00000101144
114106	gene	5532	PPP3CB	ENSG00000107758
114204	gene	781	CACNA2D1	ENSG00000153956
115442	gene	1459	CSNK2A2	ENSG00000070770
118423	gene	1123	CHN1	ENSG00000128656
122720	gene/phenotype	1548	CYP2A6	ENSG00000255974
123101	gene	4488	MSX2	ENSG00000120149
123690	gene	1421	CRYGD	ENSG00000118231
123695	gene	5130	PCYT1A	ENSG00000161217
123837	gene	898	CCNE1	ENSG00000105173
126453	gene/phenotype	1816	DRD5	ENSG00000169676
126455	gene	6531	SLC6A3	ENSG00000142319
128239	gene	1605	DAG1	ENSG00000173402
130160	gene	2006	ELN	ENSG00000049540
131242	gene	1908	EDN3	ENSG00000124205
131243	gene	1909	EDNRA	ENSG00000151617
135630	gene	3688	ITGB1	ENSG00000150093
137060	gene	2683	B4GALT1	ENSG00000086062
137164	gene	2566	GABRG2	ENSG00000113327
137181	gene	728441	GGT2	ENSG00000133475
137350	gene	2934	GSN	ENSG00000148180
139320	gene	2778	GNAS	ENSG00000087460
142986	gene	3237	HOXD11	ENSG00000128713
146732	gene	3486	IGFBP3	ENSG00000146674
147220	gene	3537	IGLC1
147569	gene	3460	IFNGR2	ENSG00000159128
147576	gene	3660	IRF2	ENSG00000168310
147578	gene	3447	IFNA13	ENSG00000233816
151410	gene	613	BCR	ENSG00000186716
156225	gene	3908	LAMA2	ENSG00000196569
158120	gene	929	CD14	ENSG00000170458
158378	gene	6575	SLC20A2	ENSG00000168575
163731	gene	4842	NOS1	ENSG00000089250
164010	gene	5119	CHMP1A	ENSG00000131165
165070	gene	2321	FLT1	ENSG00000102755
165162	gene	3727	JUND	ENSG00000130522
171860	gene	5211	PFKL	ENSG00000141959
172480	gene	5723	PSPH	ENSG00000146733
173490	gene	5156	PDGFRA	ENSG00000134853
176635	gene	5557	PRIM1	ENSG00000198056
180073	gene	5148	PDE6G	ENSG00000185527
181031	gene	6295	SAG	ENSG00000130561
185605	gene	6857	SYT1	ENSG00000067715
187680	gene	7172	TPMT	ENSG00000137364
190000	gene	7018	TF	ENSG00000091513
191163	gene	7128	TNFAIP3	ENSG00000118503
191170	gene	7157	TP53	ENSG00000141510
193040	gene	7429	VIL1	ENSG00000127831
217030	gene	3426	CFI	ENSG00000205403
217070	gene	730	C7	ENSG00000112936
300022	gene	55558	PLXNA3	ENSG00000130827
300034	gene	186	AGTR2	ENSG00000180772
300205	gene	10682	EBP	ENSG00000147155
300463	gene	10084	PQBP1	ENSG00000102103
300481	gene	1536	CYBB	ENSG00000165168
300611	gene	29071	C1GALT1C1	ENSG00000171155
300642	gene	27286	SRPX2	ENSG00000102359
300713	gene	55593	OTUD5	ENSG00000068308
308380	gene	3561	IL2RG	ENSG00000147168
311010	gene	369	ARAF	ENSG00000078061
311800	gene	5230	PGK1	ENSG00000102144
400005	gene	8287	USP9Y	ENSG00000114374
480000	gene	6736	SRY	ENSG00000184895
516005	gene	4540	MT-ND5	ENSG00000198786
516006	gene	4541	MT-ND6	ENSG00000198695
516030	gene	4512	MT-CO1	ENSG00000198804
516040	gene	4513	MT-CO2	ENSG00000198712
516050	gene	4514	MT-CO3	ENSG00000198938
516060	gene/phenotype	4508	MT-ATP6	ENSG00000198899
590030	gene	4572	MT-TQ
590065	gene	4569	MT-TM
590070	gene	4558	MT-TF
590075	gene	4571	MT-TP
590090	gene	4576	MT-TT
600005	gene	4261	CIITA	ENSG00000179583
600303	gene	2889	RAPGEF1	ENSG00000107263
600443	gene	2745	GLRX	ENSG00000173221
600465	gene	288	ANK3	ENSG00000151150
600469	gene	4686	NCBP1	ENSG00000136937
600532	gene	4729	NDUFV2	ENSG00000178127
600570	gene	1181	CLCN2	ENSG00000114859
600583	gene	7006	TEC	ENSG00000135605
600595	gene	8100	IFT88	ENSG00000032742
600615	gene	3963	LGALS7	ENSG00000205076
600814	gene	4361	MRE11	ENSG00000020922
600825	gene	6095	RORA	ENSG00000069667
600900	gene	6443	SGCB	ENSG00000163069
600909	gene	4047	LSS	ENSG00000160285
600917	gene	5506	PPP1R3A	ENSG00000154415
600921	gene	2254	FGF9	ENSG00000102678
600929	gene	1414	CRYBB1	ENSG00000100122
600958	gene	4607	MYBPC3	ENSG00000134571
600970	gene	4646	MYO6	ENSG00000196586
601009	gene	7082	TJP1	ENSG00000104067
601070	gene	3601	IL15RA	ENSG00000134470
601239	gene	1837	DTNA	ENSG00000134769
601387	gene	7251	TSG101	ENSG00000074319
601436	gene	6502	SKP2	ENSG00000145604
601565	gene	3394	IRF8	ENSG00000140968
601577	gene	5790	PTPRCAP	ENSG00000213402
601648	gene	5710	PSMD4	ENSG00000159352
