gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
AAGAB	79719	NM_001271885.2	false	false	20	2.3099e+01	109	8.6583e-01	3.7360e-07	8.0653e-07	2.4774e-01	7.5226e-01	19	1.9700e+01	91	9.6447e-01	3.3302e-07	4.3781e-07	3.7589e-01	6.2411e-01	6.7200e-01	1.4150e+00	NA	NA	1.5769e-01	1.3361e-01	185	1.6952e+02	869	1.0913e+00	2.0684e-06	9.6700e-01	1.2330e+00	-1.1886e+00	-4.3407e-01	58	4.5183e+01	251	1.2837e+00	40	5.6750e+01	232	7.0485e-01	7.9558e-07	5.4600e-01	9.1800e-01	2.2234e+00	1.2119e+00	[]	NA	NA	NA	NA	NA
AAGAB	79719	NM_001271886.2	false	false	20	2.4051e+01	114	8.3157e-01	3.9035e-07	1.3801e-06	1.9934e-01	8.0066e-01	19	1.9700e+01	91	9.6447e-01	3.3302e-07	4.3781e-07	3.7589e-01	6.2411e-01	6.7200e-01	1.4150e+00	NA	NA	1.5769e-01	1.3361e-01	185	1.6952e+02	869	1.0913e+00	2.0684e-06	9.6700e-01	1.2330e+00	-1.1886e+00	-4.3407e-01	58	4.5183e+01	251	1.2837e+00	40	5.6750e+01	232	7.0485e-01	7.9558e-07	5.4600e-01	9.1800e-01	2.2234e+00	1.2119e+00	[]	NA	NA	NA	NA	NA
AAGAB	79719	NM_024666.5	true	true	27	3.2199e+01	156	8.3853e-01	4.6730e-07	1.4868e-08	2.0603e-01	7.9397e-01	27	3.2199e+01	156	8.3853e-01	4.6730e-07	1.5706e-08	1.9835e-01	8.0165e-01	6.1700e-01	1.1560e+00	NA	NA	9.1622e-01	7.7630e-01	350	3.0222e+02	1560	1.1581e+00	2.6730e-06	1.0600e+00	1.2650e+00	-2.7485e+00	-1.0037e+00	91	6.9602e+01	386	1.3074e+00	107	1.0683e+02	448	1.0016e+00	1.2080e-06	8.5500e-01	1.1760e+00	-1.6489e-02	-8.9872e-03	[]	NA	NA	NA	NA	NA
AAGAB	79719	XM_011522020.1	false	false	20	2.3099e+01	109	8.6583e-01	3.7360e-07	8.0653e-07	2.4774e-01	7.5226e-01	19	1.9700e+01	91	9.6447e-01	3.3302e-07	4.3781e-07	3.7589e-01	6.2411e-01	6.7200e-01	1.4150e+00	NA	NA	1.5769e-01	1.3361e-01	185	1.6952e+02	869	1.0913e+00	2.0684e-06	9.6700e-01	1.2330e+00	-1.1886e+00	-4.3407e-01	58	4.5183e+01	251	1.2837e+00	40	5.6750e+01	232	7.0485e-01	7.9558e-07	5.4600e-01	9.1800e-01	2.2234e+00	1.2119e+00	[]	NA	NA	NA	NA	NA
AAGAB	79719	XM_024450052.1	false	false	17	1.9595e+01	91	8.6758e-01	3.7401e-07	5.5866e-06	2.4512e-01	7.5487e-01	15	1.8459e+01	85	8.1262e-01	3.5403e-07	4.2035e-05	1.7730e-01	8.2266e-01	5.4300e-01	1.2510e+00	NA	NA	8.0505e-01	6.8210e-01	207	1.6995e+02	884	1.2180e+00	1.0417e-06	1.0870e+00	1.3670e+00	-2.8418e+00	-1.0378e+00	NA	NA	NA	NA	79	6.1099e+01	259	1.2930e+00	8.2240e-07	1.0770e+00	1.5590e+00	-2.2901e+00	-1.2482e+00	[]	NA	NA	NA	NA	NA
AAGAB	79719	XM_024450053.1	false	false	15	1.8459e+01	85	8.1262e-01	3.5403e-07	3.9834e-05	1.8435e-01	8.1561e-01	15	1.8459e+01	85	8.1262e-01	3.5403e-07	4.2035e-05	1.7730e-01	8.2266e-01	5.4300e-01	1.2510e+00	NA	NA	8.0505e-01	6.8210e-01	207	1.6995e+02	884	1.2180e+00	1.0417e-06	1.0870e+00	1.3670e+00	-2.8418e+00	-1.0378e+00	NA	NA	NA	NA	79	6.1099e+01	259	1.2930e+00	8.2240e-07	1.0770e+00	1.5590e+00	-2.2901e+00	-1.2482e+00	[]	NA	NA	NA	NA	NA
AAGAB	ENSG00000103591	ENST00000261880	true	true	27	3.2199e+01	156	8.3853e-01	4.6730e-07	1.4868e-08	2.0603e-01	7.9397e-01	27	3.2199e+01	156	8.3853e-01	4.6730e-07	1.5706e-08	1.9835e-01	8.0165e-01	6.1700e-01	1.1560e+00	12016	6	9.1622e-01	7.7630e-01	350	3.0222e+02	1560	1.1581e+00	2.6730e-06	1.0600e+00	1.2650e+00	-2.7485e+00	-1.0037e+00	91	6.9602e+01	386	1.3074e+00	107	1.0683e+02	448	1.0016e+00	1.2080e-06	8.5500e-01	1.1760e+00	-1.6489e-02	-8.9872e-03	[]	2	protein_coding	chr15	945	10
AAGAB	ENSG00000103591	ENST00000542650	false	false	20	2.3099e+01	109	8.6583e-01	3.7360e-07	8.0653e-07	2.4774e-01	7.5226e-01	19	1.9700e+01	91	9.6447e-01	3.3302e-07	4.3781e-07	3.7589e-01	6.2411e-01	6.7200e-01	1.4150e+00	NA	NA	1.5769e-01	1.3361e-01	185	1.6952e+02	869	1.0913e+00	2.0684e-06	9.6700e-01	1.2330e+00	-1.1886e+00	-4.3407e-01	58	4.5183e+01	251	1.2837e+00	40	5.6750e+01	232	7.0485e-01	7.9558e-07	5.4600e-01	9.1800e-01	2.2234e+00	1.2119e+00	[]	2	protein_coding	chr15	618	8
AAGAB	ENSG00000103591	ENST00000560362	false	false	8	9.0078e+00	37	8.8812e-01	2.5184e-07	1.7773e-03	2.4089e-01	7.5734e-01	7	5.6084e+00	19	1.2481e+00	2.1126e-07	9.6981e-04	3.6741e-01	6.3162e-01	6.8800e-01	1.8840e+00	NA	NA	-5.8760e-01	-4.9786e-01	36	3.2986e+01	171	1.0914e+00	7.1518e-07	8.3600e-01	1.4410e+00	-5.2486e-01	-1.9168e-01	16	1.1938e+01	67	1.3402e+00	10	9.8470e+00	39	1.0155e+00	2.6369e-07	6.2400e-01	1.6750e+00	-4.8770e-02	-2.6582e-02	[]	2	protein_coding	chr15	174	3
AAGAB	ENSG00000103591	ENST00000561452	false	false	20	2.4051e+01	114	8.3157e-01	3.9035e-07	1.3801e-06	1.9934e-01	8.0066e-01	19	1.9700e+01	91	9.6447e-01	3.3302e-07	4.3781e-07	3.7589e-01	6.2411e-01	6.7200e-01	1.4150e+00	NA	NA	1.5769e-01	1.3361e-01	185	1.6952e+02	869	1.0913e+00	2.0684e-06	9.6700e-01	1.2330e+00	-1.1886e+00	-4.3407e-01	58	4.5183e+01	251	1.2837e+00	40	5.6750e+01	232	7.0485e-01	7.9558e-07	5.4600e-01	9.1800e-01	2.2234e+00	1.2119e+00	[]	1	protein_coding	chr15	618	8
