Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID
1	1167629	1170421	ENSG00000176022	B3GALT6	17978
1	210111538	210337636	ENSG00000143469	SYT14	23143
1	151227179	151239955	ENSG00000159352	PSMD4	9561
1	151254094	151264656	ENSG00000143373	ZNF687	29277
1	219858769	220131989	ENSG00000196660	SLC30A10	25355
1	28655513	28662476	ENSG00000130772	MED18	25944
1	235824341	236046940	ENSG00000143669	LYST	1968
1	36023074	36032875	ENSG00000020129	NCDN	17597
1	156117157	156147543	ENSG00000196189	SEMA4A	10729
1	169890467	170054349	ENSG00000075945	KIFAP3	17060
10	124913793	124924886	ENSG00000154473	BUB3	1151
10	116054583	116164515	ENSG00000169129	AFAP1L2	25901
10	76585340	76792380	ENSG00000156650	KAT6B	17582
10	33189247	33294720	ENSG00000150093	ITGB1	6153
10	27280843	27389421	ENSG00000107890	ANKRD26	29186
10	61786056	62493248	ENSG00000151150	ANK3	494
10	75196186	75255782	ENSG00000107758	PPP3CB	9315
10	5990855	6020150	ENSG00000134470	IL15RA	5978
10	100175955	100206684	ENSG00000107521	HPS1	5163
10	15555948	15762124	ENSG00000077943	ITGA8	6144
11	9800214	10315754	ENSG00000133812	SBF2	2135
11	60658202	60674060	ENSG00000110107	PRPF19	17896
11	5684425	5959849	ENSG00000132256	TRIM5	16276
11	67202981	67205538	ENSG00000213402	PTPRCAP	9667
11	113668596	113746292	ENSG00000048028	USP28	12625
11	67758575	67772452	ENSG00000110057	UNC93B1	13481
11	18489883	18548779	ENSG00000074319	TSG101	15971
11	47352957	47374253	ENSG00000134571	MYBPC3	7551
11	130029457	130080271	ENSG00000149418	ST14	11344
11	94152895	94227074	ENSG00000020922	MRE11A	7230
11	101322295	101743293	ENSG00000137672	TRPC6	12338
12	117645947	117889975	ENSG00000089250	NOS1	7872
12	57125380	57146157	ENSG00000198056	PRIM1	9369
12	121746048	121837699	ENSG00000089053	ANAPC5	15713
12	111051832	111087235	ENSG00000204852	TCTN1	26113
12	79257773	79845788	ENSG00000067715	SYT1	11509
12	122277433	122301502	ENSG00000158104	HPD	5147
12	50898768	51142450	ENSG00000066084	DIP2B	29284
12	57943781	57980415	ENSG00000155980	KIF5A	6323
12	65107225	65153227	ENSG00000135677	GNS	4422
12	21284136	21392180	ENSG00000134538	SLCO1B1	10959
12	23682440	24103966	ENSG00000134532	SOX5	11201
13	21140585	21265503	ENSG00000032742	IFT88	20606
13	22245522	22278637	ENSG00000102678	FGF9	3687
13	26706253	26796791	ENSG00000127870	RNF6	10069
13	28874489	29069265	ENSG00000102755	FLT1	3763
13	31710762	31736525	ENSG00000120694	HSPH1	16969
13	33590207	33640282	ENSG00000133116	KL	6344
13	46627321	46679211	ENSG00000080618	CPB2	2300
13	86366925	86373623	ENSG00000184564	SLITRK6	23503
13	100634026	100639018	ENSG00000043355	ZIC2	12873
13	108903588	108960832	ENSG00000102524	TNFSF13B	11929
13	115079988	115092796	ENSG00000198824	CHAMP1	20311
14	97263641	97398059	ENSG00000100749	VRK1	12718
14	35451163	35498773	ENSG00000100883	SRP54	11301
14	45605143	45670093	ENSG00000187790	FANCM	23168
14	50110273	50155140	ENSG00000100479	POLE2	9178
14	92335756	92414331	ENSG00000140092	FBLN5	3602
14	51186481	51297839	ENSG00000100503	NIN	14906
14	92432335	92507240	ENSG00000100815	TRIP11	12305
14	105266933	105271049	ENSG00000179627	ZBTB42	32550
14	76368479	76550928	ENSG00000119650	IFT43	29669
14	61654277	62017694	ENSG00000027075	PRKCH	9403
15	23810454	23873064	ENSG00000179455	MKRN3	7114
15	29991571	30261068	ENSG00000104067	TJP1	11827
15	101099574	101143435	ENSG00000140471	LINS	30922
15	66628544	66679084	ENSG00000075131	TIPIN	30750
15	58887403	59042177	ENSG00000137845	ADAM10	188
15	66994566	67074338	ENSG00000137834	SMAD6	6772
15	67493371	67547533	ENSG00000103591	AAGAB	25662
15	60780483	61521518	ENSG00000069667	RORA	10258
15	44854894	44955876	ENSG00000104133	SPG11	11226
15	74287014	74340153	ENSG00000140464	PML	9113
15	78396948	78423886	ENSG00000136425	CIB2	24579
16	30996519	31000473	ENSG00000099377	HSD3B7	18324
16	3068446	3072384	ENSG00000006327	TNFRSF12A	18152
16	81272053	81324747	ENSG00000135697	BCMO1	13815
16	10971055	11026079	ENSG00000179583	CIITA	7067
16	83932731	83949787	ENSG00000103150	MLYCD	7150
16	85932409	85956215	ENSG00000140968	IRF8	5358
16	15737124	15820210	ENSG00000072864	NDE1	17619
