Chromosome/scaffold name	Gene stable ID	Transcript stable ID	Exon stable ID	Exon region start (bp)	Exon region end (bp)	5' UTR start	5' UTR end	3' UTR start	3' UTR end	Strand	Exon rank in transcript
1	ENSG00000143469	ENST00000652023	1-209900923-209900973	209900923	209900973	None	None	None	None	1	1
1	ENSG00000143469	ENST00000652023	1-209952709-209952756	209952709	209952756	None	None	None	None	1	2
1	ENSG00000143469	ENST00000367019	1-209938174-209938277	209938174	209938277	209938174	209938264	None	None	1	1
1	ENSG00000143469	ENST00000367019	1-209952709-209952756	209952709	209952756	None	None	None	None	1	2
1	ENSG00000143469	ENST00000367019	1-210013633-210013797	210013633	210013797	None	None	None	None	1	3
1	ENSG00000143469	ENST00000367019	1-210021039-210021254	210021039	210021254	None	None	None	None	1	4
1	ENSG00000143469	ENST00000367019	1-210094322-210094593	210094322	210094593	None	None	None	None	1	5
1	ENSG00000143469	ENST00000367019	1-210100012-210100461	210100012	210100461	None	None	None	None	1	6
1	ENSG00000143469	ENST00000367019	1-210155721-210155910	210155721	210155910	None	None	None	None	1	7
1	ENSG00000143469	ENST00000367019	1-210159421-210159477	210159421	210159477	None	None	None	None	1	8
1	ENSG00000143469	ENST00000367019	1-210160729-210162223	210160729	210162223	None	None	210161043	210162223	1	9
1	ENSG00000143469	ENST00000637265	1-209952709-209952756	209952709	209952756	209952709	209952756	None	None	1	2
1	ENSG00000143469	ENST00000637265	1-210021039-210021254	210021039	210021254	None	None	None	None	1	5
1	ENSG00000143469	ENST00000637265	1-210094322-210094593	210094322	210094593	None	None	None	None	1	6
1	ENSG00000143469	ENST00000637265	1-210100012-210100461	210100012	210100461	None	None	None	None	1	7
1	ENSG00000143469	ENST00000637265	1-210155721-210155910	210155721	210155910	None	None	None	None	1	8
1	ENSG00000143469	ENST00000637265	1-210159421-210159477	210159421	210159477	None	None	None	None	1	9
1	ENSG00000143469	ENST00000637265	1-209938186-209938277	209938186	209938277	209938186	209938277	None	None	1	1
1	ENSG00000143469	ENST00000637265	1-210013633-210013797	210013633	210013797	210013633	210013797	None	None	1	3
1	ENSG00000143469	ENST00000637265	1-210015684-210017099	210015684	210017099	210015684	210016003	None	None	1	4
1	ENSG00000143469	ENST00000637265	1-210160729-210171389	210160729	210171389	None	None	210161043	210171389	1	10
1	ENSG00000143469	ENST00000637945	1-209952709-209952756	209952709	209952756	None	None	None	None	1	2
1	ENSG00000143469	ENST00000637945	1-209938251-209938277	209938251	209938277	209938251	209938264	None	None	1	1
1	ENSG00000143469	ENST00000637945	1-209965893-209966013	209965893	209966013	None	None	None	None	1	3
1	ENSG00000143469	ENST00000637945	1-210013633-210013797	210013633	210013797	None	None	210013712	210013797	1	4
1	ENSG00000143469	ENST00000637945	1-210021039-210021254	210021039	210021254	None	None	210021039	210021254	1	5
1	ENSG00000143469	ENST00000637945	1-210094322-210094593	210094322	210094593	None	None	210094322	210094593	1	6
