gene	transcript	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags
AAGAB	ENST00000261880	true	27	3.2169e+01	156	8.3933e-01	4.6730e-07	1.4650e-08	2.0886e-01	7.9114e-01	27	3.2169e+01	156	8.3933e-01	4.6730e-07	1.5473e-08	2.0107e-01	7.9893e-01	6.1800e-01	1.1570e+00	9.1129e-01	7.7129e-01	350	3.0193e+02	1560	1.1592e+00	2.6730e-06	1.0610e+00	1.2660e+00	-2.7662e+00	-1.0099e+00	91	6.9536e+01	386	1.3087e+00	107	1.0673e+02	448	1.0025e+00	1.2080e-06	8.5600e-01	1.1770e+00	-2.6057e-02	-1.4209e-02	[]
AAGAB	ENST00000542650	false	20	2.3077e+01	109	8.6665e-01	3.7360e-07	7.9805e-07	2.5050e-01	7.4950e-01	19	1.9681e+01	91	9.6538e-01	3.3302e-07	4.3313e-07	3.7907e-01	6.2093e-01	6.7200e-01	1.4160e+00	1.5357e-01	1.2998e-01	185	1.6936e+02	869	1.0923e+00	2.0684e-06	9.6800e-01	1.2340e+00	-1.2015e+00	-4.3865e-01	58	4.5140e+01	251	1.2849e+00	40	5.6697e+01	232	7.0551e-01	7.9558e-07	5.4700e-01	9.1800e-01	2.2174e+00	1.2092e+00	[]
AAGAB	ENST00000560362	false	8	8.9993e+00	37	8.8896e-01	2.5184e-07	1.7722e-03	2.4287e-01	7.5536e-01	7	5.6032e+00	19	1.2493e+00	2.1126e-07	9.6738e-04	3.6965e-01	6.2938e-01	6.8900e-01	1.8850e+00	-5.9009e-01	-4.9944e-01	36	3.2954e+01	171	1.0924e+00	7.1518e-07	8.3600e-01	1.4430e+00	-5.3054e-01	-1.9369e-01	16	1.1927e+01	67	1.3415e+00	10	9.8377e+00	39	1.0165e+00	2.6369e-07	6.2500e-01	1.6760e+00	-5.1740e-02	-2.8214e-02	[]
AAGAB	ENST00000561452	false	20	2.4028e+01	114	8.3236e-01	3.9035e-07	1.3659e-06	2.0174e-01	7.9826e-01	19	1.9681e+01	91	9.6538e-01	3.3302e-07	4.3313e-07	3.7907e-01	6.2093e-01	6.7200e-01	1.4160e+00	1.5357e-01	1.2998e-01	185	1.6936e+02	869	1.0923e+00	2.0684e-06	9.6800e-01	1.2340e+00	-1.2015e+00	-4.3865e-01	58	4.5140e+01	251	1.2849e+00	40	5.6697e+01	232	7.0551e-01	7.9558e-07	5.4700e-01	9.1800e-01	2.2174e+00	1.2092e+00	[]
AAGAB	NM_001271885.2	false	20	2.3077e+01	109	8.6665e-01	3.7360e-07	7.9805e-07	2.5050e-01	7.4950e-01	19	1.9681e+01	91	9.6538e-01	3.3302e-07	4.3313e-07	3.7907e-01	6.2093e-01	6.7200e-01	1.4160e+00	1.5357e-01	1.2998e-01	185	1.6936e+02	869	1.0923e+00	2.0684e-06	9.6800e-01	1.2340e+00	-1.2015e+00	-4.3865e-01	58	4.5140e+01	251	1.2849e+00	40	5.6697e+01	232	7.0551e-01	7.9558e-07	5.4700e-01	9.1800e-01	2.2174e+00	1.2092e+00	[]
AAGAB	NM_001271886.2	false	20	2.4028e+01	114	8.3236e-01	3.9035e-07	1.3659e-06	2.0174e-01	7.9826e-01	19	1.9681e+01	91	9.6538e-01	3.3302e-07	4.3313e-07	3.7907e-01	6.2093e-01	6.7200e-01	1.4160e+00	1.5357e-01	1.2998e-01	185	1.6936e+02	869	1.0923e+00	2.0684e-06	9.6800e-01	1.2340e+00	-1.2015e+00	-4.3865e-01	58	4.5140e+01	251	1.2849e+00	40	5.6697e+01	232	7.0551e-01	7.9558e-07	5.4700e-01	9.1800e-01	2.2174e+00	1.2092e+00	[]
AAGAB	NM_024666.5	true	27	3.2169e+01	156	8.3933e-01	4.6730e-07	1.4650e-08	2.0886e-01	7.9114e-01	27	3.2169e+01	156	8.3933e-01	4.6730e-07	1.5473e-08	2.0107e-01	7.9893e-01	6.1800e-01	1.1570e+00	9.1129e-01	7.7129e-01	350	3.0193e+02	1560	1.1592e+00	2.6730e-06	1.0610e+00	1.2660e+00	-2.7662e+00	-1.0099e+00	91	6.9536e+01	386	1.3087e+00	107	1.0673e+02	448	1.0025e+00	1.2080e-06	8.5600e-01	1.1770e+00	-2.6057e-02	-1.4209e-02	[]
AAGAB	XM_011522020.1	false	20	2.3077e+01	109	8.6665e-01	3.7360e-07	7.9805e-07	2.5050e-01	7.4950e-01	19	1.9681e+01	91	9.6538e-01	3.3302e-07	4.3313e-07	3.7907e-01	6.2093e-01	6.7200e-01	1.4160e+00	1.5357e-01	1.2998e-01	185	1.6936e+02	869	1.0923e+00	2.0684e-06	9.6800e-01	1.2340e+00	-1.2015e+00	-4.3865e-01	58	4.5140e+01	251	1.2849e+00	40	5.6697e+01	232	7.0551e-01	7.9558e-07	5.4700e-01	9.1800e-01	2.2174e+00	1.2092e+00	[]
AAGAB	XM_024450052.1	false	17	1.9576e+01	91	8.6840e-01	3.7401e-07	5.5386e-06	2.4768e-01	7.5232e-01	15	1.8441e+01	85	8.1339e-01	3.5403e-07	4.1725e-05	1.7923e-01	8.2072e-01	5.4300e-01	1.2520e+00	8.0137e-01	6.7826e-01	207	1.6979e+02	884	1.2191e+00	1.0417e-06	1.0880e+00	1.3680e+00	-2.8553e+00	-1.0424e+00	NA	NA	NA	NA	79	6.1043e+01	259	1.2942e+00	8.2240e-07	1.0780e+00	1.5600e+00	-2.2983e+00	-1.2533e+00	[]
AAGAB	XM_024450053.1	false	15	1.8441e+01	85	8.1339e-01	3.5403e-07	3.9548e-05	1.8638e-01	8.1358e-01	15	1.8441e+01	85	8.1339e-01	3.5403e-07	4.1725e-05	1.7923e-01	8.2072e-01	5.4300e-01	1.2520e+00	8.0137e-01	6.7826e-01	207	1.6979e+02	884	1.2191e+00	1.0417e-06	1.0880e+00	1.3680e+00	-2.8553e+00	-1.0424e+00	NA	NA	NA	NA	79	6.1043e+01	259	1.2942e+00	8.2240e-07	1.0780e+00	1.5600e+00	-2.2983e+00	-1.2533e+00	[]
