GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
A1CF	APOBEC1 complementation factor	COSG68236	10	50799409	50885675	10q11.23	y	n	melanoma			E		oncogene	Mis		n		2	A1CF,ENSG00000148584.14,29974,ACF,ACF64,ACF65,APOBEC1CF,ASP
ABI1	abl interactor 1	COSG100962	10	26746593	26861087	10p12.1	y	n	AML			L	Dom	TSG, fusion	T	KMT2A	n		1	ABI1,ENSG00000136754.17,Q8IZP0,10006,ABI-1,E3B1
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	COSG106650	9	130713946	130887675	9q34.12	y	n	CML, ALL, T-ALL			L	Dom	oncogene, fusion	T, Mis	BCR, ETV6, NUP214	n		1	ABL1,ENSG00000097007.17,P00519,25,JTK7,c-ABL,p150
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	COSG93778	1	179099327	179229684	1q25.2	y	n	AML			L	Dom	oncogene, fusion	T	ETV6	n		1	ABL2,ENSG00000143322.19,P42684,27,ARG
ACKR3	atypical chemokine receptor 3	COSG97311	2	236567787	236582358	2q37.3	y	n	lipoma			M	Dom	oncogene, fusion	T	HMGA2	n		1	ACKR3,ENSG00000144476.5,P25106,57007,GPR159,RDC1
ACSL3	acyl-CoA synthetase long chain family member 3	COSG110896	2	222860934	222944639	2q36.1	y	n	prostate			E	Dom	fusion	T	ETV1	n		1	ACSL3,ENSG00000123983.13,O95573,2181,ACS3,PRO2194
ACSL6	acyl-CoA synthetase long chain family member 6	COSG111804	5	131949973	132012243	5q31.1	y	n	AML, AEL			L	Dom	fusion	T	ETV6	n		2	ACSL6,ENSG00000164398.12,Q9UKU0,23305,ACS2,KIAA0837,LACS2,LACS5
ACVR1	activin A receptor type 1	COSG104387	2	157736444	157875862	2q24.1	y	n	DIPG			O	Dom	oncogene	Mis		y	Fibrodysplasia ossificans progressiva	1	ACVR1,ENSG00000115170.13,Q04771,90,ACVR1A,ALK2,SKR1
ACVR1B	activin A receptor type 1B	COSG87372	12	51951667	51997078	12q13.13	y	n	pancreatic cancer			E		TSG	D, F, Mis, N		n		1	ACVR1B,ENSG00000135503.12,P36896,91,ALK4,ActRIB,SKR2
ACVR2A	activin A receptor type 2A	COSG109828	2	147844517	147930826	2q23.1	y	n	large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus			E	Rec	TSG	Mis, N, F		n		1	ACVR2A,ENSG00000121989.14,P27037,92,ACTRII
